0x7960 1509
141 ovl_Bg_Mori_Bigst.zactor
142 ovl_Bg_Mori_Elevator.zactor
143 ovl_Bg_Mori_Kaitenkabe.zactor
144 ovl_Bg_Mori_Rakkatenjo.zactor
145 ovl_En_Vm.zactor
146 ovl_Demo_Effect.zactor
147 ovl_Demo_Kankyo.zactor
148 ovl_Bg_Hidan_Fwbig.zactor
149 ovl_En_Floormas.zactor
150 ovl_En_Heishi1.zactor
151 ovl_En_Rd.zactor
152 ovl_En_Po_Sisters.zactor
153 ovl_Bg_Heavy_Block.zactor
154 ovl_Bg_Po_Event.zactor
155 ovl_Obj_Mure.zactor
156 ovl_En_Sw.zactor
157 ovl_Boss_Fd.zactor
158 ovl_Object_Kankyo.zactor
159 ovl_En_Du.zactor
160 ovl_En_Fd.zactor
161 ovl_En_Horse_Link_Child.zactor
162 ovl_Door_Ana.zactor
163 ovl_Bg_Spot02_Objects.zactor
164 ovl_Bg_Haka.zactor
165 ovl_Magic_Wind.zactor
166 ovl_Magic_Fire.zactor
167 ovl_En_Ru1.zactor
168 ovl_Boss_Fd2.zactor
169 ovl_En_Fd_Fire.zactor
170 ovl_En_Dh.zactor
171 ovl_En_Dha.zactor
172 ovl_En_Rl.zactor
173 ovl_En_Encount1.zactor
174 ovl_Demo_Du.zactor
175 ovl_Demo_Im.zactor
176 ovl_Demo_Tre_Lgt.zactor
177 ovl_En_Fw.zactor
178 ovl_Bg_Vb_Sima.zactor
179 ovl_En_Vb_Ball.zactor
180 ovl_Bg_Haka_Megane.zactor
181 ovl_Bg_Haka_MeganeBG.zactor
182 ovl_Bg_Haka_Ship.zactor
183 ovl_Bg_Haka_Sgami.zactor
184 ovl_En_Heishi2.zactor
185 ovl_En_Encount2.zactor
186 ovl_En_Fire_Rock.zactor
187 ovl_En_Brob.zactor
188 ovl_Mir_Ray.zactor
189 ovl_Bg_Spot09_Obj.zactor
190 ovl_Bg_Spot18_Obj.zactor
191 ovl_Boss_Va.zactor
192 ovl_Bg_Haka_Tubo.zactor
193 ovl_Bg_Haka_Trap.zactor
194 ovl_Bg_Haka_Huta.zactor
195 ovl_Bg_Haka_Zou.zactor
196 ovl_Bg_Spot17_Funen.zactor
197 ovl_En_Syateki_Itm.zactor
198 ovl_En_Syateki_Man.zactor
199 ovl_En_Tana.zactor
200 ovl_En_Nb.zactor
201 ovl_Boss_Mo.zactor
202 ovl_En_Sb.zactor
203 ovl_En_Bigokuta.zactor
204 ovl_En_Karebaba.zactor
205 ovl_Bg_Bdan_Objects.zactor
206 ovl_Demo_Sa.zactor
207 ovl_Demo_Go.zactor
208 ovl_En_In.zactor
209 ovl_En_Tr.zactor
210 ovl_Bg_Spot16_Bombstone.zactor
211 ovl_Bg_Hidan_Kowarerukabe.zactor
212 ovl_Bg_Bombwall.zactor
213 ovl_En_Ru2.zactor
214 ovl_Obj_Dekujr.zactor
215 ovl_Bg_Mizu_Uzu.zactor
216 ovl_Bg_Spot06_Objects.zactor
217 ovl_Bg_Ice_Objects.zactor
218 ovl_Bg_Haka_Water.zactor
219 ovl_En_Ma2.zactor
220 ovl_En_Bom_Chu.zactor
221 ovl_En_Horse_Game_Check.zactor
222 ovl_Boss_Tw.zactor
223 ovl_En_Rr.zactor
224 ovl_En_Ba.zactor
225 ovl_En_Bx.zactor
226 ovl_En_Anubice.zactor
227 ovl_En_Anubice_Fire.zactor
228 ovl_Bg_Mori_Hashigo.zactor
229 ovl_Bg_Mori_Hashira4.zactor
230 ovl_Bg_Mori_Idomizu.zactor
231 ovl_Bg_Spot16_Doughnut.zactor
232 ovl_Bg_Bdan_Switch.zactor
233 ovl_En_Ma1.zactor
234 ovl_Boss_Ganon.zactor
235 ovl_Boss_Sst.zactor
236 ovl_En_Ny.zactor
237 ovl_En_Fr.zactor
238 ovl_Item_Shield.zactor
239 ovl_Bg_Ice_Shelter.zactor
240 ovl_En_Ice_Hono.zactor
241 ovl_Item_Ocarina.zactor
242 ovl_Magic_Dark.zactor
243 ovl_Demo_6K.zactor
244 ovl_En_Anubice_Tag.zactor
245 ovl_Bg_Haka_Gate.zactor
246 ovl_Bg_Spot15_Saku.zactor
247 ovl_Bg_Jya_Goroiwa.zactor
248 ovl_Bg_Jya_Zurerukabe.zactor
249 ovl_Bg_Jya_Cobra.zactor
250 ovl_Bg_Jya_Kanaami.zactor
251 ovl_Fishing.zactor
252 ovl_Obj_Oshihiki.zactor
253 ovl_Bg_Gate_Shutter.zactor
254 ovl_Eff_Dust.zactor
255 ovl_Bg_Spot01_Fusya.zactor
256 ovl_Bg_Spot01_Idohashira.zactor
257 ovl_Bg_Spot01_Idomizu.zactor
258 ovl_Bg_Po_Syokudai.zactor
259 ovl_Bg_Ganon_Otyuka.zactor
260 ovl_Bg_Spot15_Rrbox.zactor
261 ovl_Bg_Umajump.zactor
262 ovl_En_Insect.zactor
263 ovl_En_Butte.zactor
264 ovl_En_Fish.zactor
265 ovl_Bg_Spot08_Iceblock.zactor
266 ovl_Item_Etcetera.zactor
267 ovl_Arrow_Fire.zactor
268 ovl_Arrow_Ice.zactor
269 ovl_Arrow_Light.zactor
270 ovl_Obj_Kibako.zactor
271 ovl_Obj_Tsubo.zactor
272 ovl_En_Wonder_Item.zactor
273 ovl_En_Ik.zactor
274 ovl_Demo_Ik.zactor
275 ovl_En_Skj.zactor
276 ovl_En_Skjneedle.zactor
277 ovl_En_G_Switch.zactor
278 ovl_Demo_Ext.zactor
279 ovl_Demo_Shd.zactor
280 ovl_En_Dns.zactor
281 ovl_Elf_Msg.zactor
282 ovl_En_Honotrap.zactor
283 ovl_En_Tubo_Trap.zactor
284 ovl_Obj_Ice_Poly.zactor
285 ovl_Bg_Spot03_Taki.zactor
286 ovl_Bg_Spot07_Taki.zactor
287 ovl_En_Fz.zactor
288 ovl_En_Po_Relay.zactor
289 ovl_Bg_Relay_Objects.zactor
290 ovl_En_Diving_Game.zactor
291 ovl_En_Kusa.zactor
292 ovl_Obj_Bean.zactor
293 ovl_Obj_Bombiwa.zactor
294 ovl_Obj_Switch.zactor
295 ovl_Obj_Elevator.zactor
296 ovl_Obj_Lift.zactor
297 ovl_Obj_Hsblock.zactor
298 ovl_En_Okarina_Tag.zactor
299 ovl_En_Yabusame_Mark.zactor
300 ovl_En_Goroiwa.zactor
301 ovl_En_Ex_Ruppy.zactor
302 ovl_En_Toryo.zactor
303 ovl_En_Daiku.zactor
304 ovl_En_Nwc.zactor
305 ovl_En_Blkobj.zactor
306 ovl_Item_Inbox.zactor
307 ovl_En_Ge1.zactor
308 ovl_Obj_Blockstop.zactor
309 ovl_En_Sda.zactor
310 ovl_En_Clear_Tag.zactor
311 ovl_En_Niw_Lady.zactor
312 ovl_En_Gm.zactor
313 ovl_En_Ms.zactor
314 ovl_En_Hs.zactor
315 ovl_Bg_Ingate.zactor
316 ovl_En_Kanban.zactor
317 ovl_En_Heishi3.zactor
318 ovl_En_Syateki_Niw.zactor
319 ovl_En_Attack_Niw.zactor
320 ovl_Bg_Spot01_Idosoko.zactor
321 ovl_En_Sa.zactor
322 ovl_En_Wonder_Talk.zactor
323 ovl_Bg_Gjyo_Bridge.zactor
324 ovl_En_Ds.zactor
325 ovl_En_Mk.zactor
326 ovl_En_Bom_Bowl_Man.zactor
327 ovl_En_Bom_Bowl_Pit.zactor
328 ovl_En_Owl.zactor
329 ovl_En_Ishi.zactor
330 ovl_Obj_Hana.zactor
331 ovl_Obj_Lightswitch.zactor
332 ovl_Obj_Mure2.zactor
333 ovl_En_Go.zactor
334 ovl_En_Fu.zactor
335 ovl_En_Changer.zactor
336 ovl_Bg_Jya_Megami.zactor
337 ovl_Bg_Jya_Lift.zactor
338 ovl_Bg_Jya_Bigmirror.zactor
339 ovl_Bg_Jya_Bombchuiwa.zactor
340 ovl_Bg_Jya_Amishutter.zactor
341 ovl_Bg_Jya_Bombiwa.zactor
342 ovl_Bg_Spot18_Basket.zactor
343 ovl_En_Ganon_Organ.zactor
344 ovl_En_Siofuki.zactor
345 ovl_En_Stream.zactor
346 ovl_En_Mm.zactor
347 ovl_En_Ko.zactor
348 ovl_En_Kz.zactor
349 ovl_En_Weather_Tag.zactor
350 ovl_Bg_Sst_Floor.zactor
351 ovl_En_Ani.zactor
352 ovl_En_Ex_Item.zactor
353 ovl_Bg_Jya_Ironobj.zactor
354 ovl_En_Js.zactor
355 ovl_En_Jsjutan.zactor
356 ovl_En_Cs.zactor
357 ovl_En_Md.zactor
358 ovl_En_Hy.zactor
359 ovl_En_Ganon_Mant.zactor
360 ovl_En_Okarina_Effect.zactor
361 ovl_En_Mag.zactor
362 ovl_Door_Gerudo.zactor
363 ovl_Elf_Msg2.zactor
364 ovl_Demo_Gt.zactor
365 ovl_En_Po_Field.zactor
366 ovl_Efc_Erupc.zactor
367 ovl_Bg_Zg.zactor
368 ovl_En_Heishi4.zactor
369 ovl_En_Zl3.zactor
370 ovl_Boss_Ganon2.zactor
371 ovl_En_Kakasi.zactor
372 ovl_En_Takara_Man.zactor
373 ovl_Obj_Makeoshihiki.zactor
374 ovl_Oceff_Spot.zactor
375 ovl_End_Title.zactor
376 ovl_En_Torch.zactor
377 ovl_Demo_Ec.zactor
378 ovl_Shot_Sun.zactor
379 ovl_En_Dy_Extra.zactor
380 ovl_En_Wonder_Talk2.zactor
381 ovl_En_Ge2.zactor
382 ovl_Obj_Roomtimer.zactor
383 ovl_En_Ssh.zactor
384 ovl_En_Sth.zactor
385 ovl_Oceff_Wipe.zactor
386 ovl_Effect_Ss_Dust.zactor
387 ovl_Effect_Ss_KiraKira.zactor
388 ovl_Effect_Ss_Bomb.zactor
389 ovl_Effect_Ss_Bomb2.zactor
390 ovl_Effect_Ss_Blast.zactor
391 ovl_Effect_Ss_G_Spk.zactor
392 ovl_Effect_Ss_D_Fire.zactor
393 ovl_Effect_Ss_Bubble.zactor
394 ovl_Effect_Ss_G_Ripple.zactor
395 ovl_Effect_Ss_G_Splash.zactor
396 ovl_Effect_Ss_G_Magma.zactor
397 ovl_Effect_Ss_G_Fire.zactor
398 ovl_Effect_Ss_Lightning.zactor
399 ovl_Effect_Ss_Dt_Bubble.zactor
400 ovl_Effect_Ss_Hahen.zactor
401 ovl_Effect_Ss_Stick.zactor
402 ovl_Effect_Ss_Sibuki.zactor
403 ovl_Effect_Ss_Sibuki2.zactor
404 ovl_Effect_Ss_G_Magma2.zactor
405 ovl_Effect_Ss_Stone1.zactor
406 ovl_Effect_Ss_HitMark.zactor
407 ovl_Effect_Ss_Fhg_Flash.zactor
408 ovl_Effect_Ss_K_Fire.zactor
409 ovl_Effect_Ss_Solder_Srch_Ball.zactor
410 ovl_Effect_Ss_Kakera.zactor
411 ovl_Effect_Ss_Ice_Piece.zactor
412 ovl_Effect_Ss_En_Ice.zactor
413 ovl_Effect_Ss_Fire_Tail.zactor
414 ovl_Effect_Ss_En_Fire.zactor
415 ovl_Effect_Ss_Extra.zactor
416 ovl_Effect_Ss_Fcircle.zactor
417 ovl_Effect_Ss_Dead_Db.zactor
418 ovl_Effect_Ss_Dead_Dd.zactor
419 ovl_Effect_Ss_Dead_Ds.zactor
420 ovl_Effect_Ss_Dead_Sound.zactor
421 ovl_Oceff_Storm.zactor
422 ovl_En_Weiyer.zactor
423 ovl_Bg_Spot05_Soko.zactor
424 ovl_Bg_Jya_1flift.zactor
425 ovl_Bg_Jya_Haheniron.zactor
426 ovl_Bg_Spot12_Gate.zactor
427 ovl_Bg_Spot12_Saku.zactor
428 ovl_En_Hintnuts.zactor
429 ovl_En_Nutsball.zactor
430 ovl_Bg_Spot00_Break.zactor
431 ovl_En_Shopnuts.zactor
432 ovl_En_It.zactor
433 ovl_En_GeldB.zactor
434 ovl_Oceff_Wipe2.zactor
435 ovl_Oceff_Wipe3.zactor
436 ovl_En_Niw_Girl.zactor
437 ovl_En_Dog.zactor
438 ovl_En_Si.zactor
439 ovl_Bg_Spot01_Objects2.zactor
440 ovl_Obj_Comb.zactor
441 ovl_Bg_Spot11_Bakudankabe.zactor
442 ovl_Obj_Kibako2.zactor
443 ovl_En_Dnt_Demo.zactor
444 ovl_En_Dnt_Jiji.zactor
445 ovl_En_Dnt_Nomal.zactor
446 ovl_En_Guest.zactor
447 ovl_Bg_Bom_Guard.zactor
448 ovl_En_Hs2.zactor
449 ovl_Demo_Kekkai.zactor
450 ovl_Bg_Spot08_Bakudankabe.zactor
451 ovl_Bg_Spot17_Bakudankabe.zactor
452 ovl_Obj_Mure3.zactor
453 ovl_En_Tg.zactor
454 ovl_En_Mu.zactor
455 ovl_En_Go2.zactor
456 ovl_En_Wf.zactor
457 ovl_En_Skb.zactor
458 ovl_Demo_Gj.zactor
459 ovl_Demo_Geff.zactor
460 ovl_Bg_Gnd_Firemeiro.zactor
461 ovl_Bg_Gnd_Darkmeiro.zactor
462 ovl_Bg_Gnd_Soulmeiro.zactor
463 ovl_Bg_Gnd_Nisekabe.zactor
464 ovl_Bg_Gnd_Iceblock.zactor
465 ovl_Bg_Ydan_Sp.zactor
466 ovl_En_Gb.zactor
467 ovl_En_Gs.zactor
468 ovl_Bg_Mizu_Bwall.zactor
469 ovl_Bg_Mizu_Shutter.zactor
470 ovl_En_Daiku_Kakariko.zactor
471 ovl_Bg_Bowl_Wall.zactor
472 ovl_En_Wall_Tubo.zactor
473 ovl_En_Po_Desert.zactor
474 ovl_En_Crow.zactor
475 ovl_Door_Killer.zactor
476 ovl_Bg_Spot11_Oasis.zactor
477 ovl_Bg_Spot18_Futa.zactor
478 ovl_Bg_Spot18_Shutter.zactor
479 ovl_En_Ma3.zactor
480 ovl_En_Cow.zactor
481 ovl_Bg_Ice_Turara.zactor
482 ovl_Bg_Ice_Shutter.zactor
483 ovl_En_Kakasi2.zactor
484 ovl_En_Kakasi3.zactor
485 ovl_Oceff_Wipe4.zactor
486 ovl_En_Eg.zactor
487 ovl_Bg_Menkuri_Nisekabe.zactor
488 ovl_En_Zo.zactor
489 ovl_Effect_Ss_Ice_Smoke.zactor
490 ovl_Obj_Makekinsuta.zactor
491 ovl_En_Ge3.zactor
492 ovl_Obj_Timeblock.zactor
493 ovl_Obj_Hamishi.zactor
494 ovl_En_Zl4.zactor
495 ovl_En_Mm2.zactor
496 ovl_Bg_Jya_Block.zactor
497 ovl_Obj_Warp2block.zactor
498 gameplay_keep.zobj
499 gameplay_field_keep.zobj
500 gameplay_dangeon_keep.zobj
501 gameplay_object_exchange_static.zobj
502 object_link_boy.zobj
503 object_link_child.zobj
504 object_box.zobj
505 object_human.zobj
506 object_okuta.zobj
507 object_poh.zobj
508 object_wallmaster.zobj
509 object_dy_obj.zobj
510 object_firefly.zobj
511 object_dodongo.zobj
512 object_fire.zobj
513 object_niw.zobj
514 object_tite.zobj
515 object_reeba.zobj
516 object_peehat.zobj
517 object_kingdodongo.zobj
518 object_horse.zobj
519 object_zf.zobj
520 object_goma.zobj
521 object_zl1.zobj
522 object_gol.zobj
523 object_bubble.zobj
524 object_dodojr.zobj
525 object_torch2.zobj
526 object_bl.zobj
527 object_tp.zobj
528 object_oA1.zobj
529 object_st.zobj
530 object_bw.zobj
531 object_ei.zobj
532 object_horse_normal.zobj
533 object_oB1.zobj
534 object_o_anime.zobj
535 object_spot04_objects.zobj
536 object_ddan_objects.zobj
537 object_hidan_objects.zobj
538 object_horse_ganon.zobj
539 object_oA2.zobj
540 object_spot00_objects.zobj
541 object_mb.zobj
542 object_bombf.zobj
543 object_sk2.zobj
544 object_oE1.zobj
545 object_oE_anime.zobj
546 object_oE2.zobj
547 object_ydan_objects.zobj
548 object_gnd.zobj
549 object_am.zobj
550 object_dekubaba.zobj
551 object_oA3.zobj
552 object_oA4.zobj
553 object_oA5.zobj
554 object_oA6.zobj
555 object_oA7.zobj
556 object_jj.zobj
557 object_oA8.zobj
558 object_oA9.zobj
559 object_oB2.zobj
560 object_oB3.zobj
561 object_oB4.zobj
562 object_horse_zelda.zobj
563 object_opening_demo1.zobj
564 object_warp1.zobj
565 object_b_heart.zobj
566 object_dekunuts.zobj
567 object_oE3.zobj
568 object_oE4.zobj
569 object_menkuri_objects.zobj
570 object_oE5.zobj
571 object_oE6.zobj
572 object_oE7.zobj
573 object_oE8.zobj
574 object_oE9.zobj
575 object_oE10.zobj
576 object_oE11.zobj
577 object_oE12.zobj
578 object_vali.zobj
579 object_oA10.zobj
580 object_oA11.zobj
581 object_mizu_objects.zobj
582 object_fhg.zobj
583 object_ossan.zobj
584 object_mori_hineri1.zobj
585 object_Bb.zobj
586 object_toki_objects.zobj
587 object_yukabyun.zobj
588 object_zl2.zobj
589 object_mjin.zobj
590 object_mjin_flash.zobj
591 object_mjin_dark.zobj
592 object_mjin_flame.zobj
593 object_mjin_ice.zobj
594 object_mjin_soul.zobj
595 object_mjin_wind.zobj
596 object_mjin_oka.zobj
597 object_haka_objects.zobj
598 object_spot06_objects.zobj
599 object_ice_objects.zobj
600 object_relay_objects.zobj
601 object_mori_hineri1a.zobj
602 object_mori_hineri2.zobj
603 object_mori_hineri2a.zobj
604 object_mori_objects.zobj
605 object_mori_tex.zobj
606 object_spot08_obj.zobj
607 object_warp2.zobj
608 object_hata.zobj
609 object_bird.zobj
610 object_wood02.zobj
611 object_lightbox.zobj
612 object_pu_box.zobj
613 object_trap.zobj
614 object_vase.zobj
615 object_im.zobj
616 object_ta.zobj
617 object_tk.zobj
618 object_xc.zobj
619 object_vm.zobj
620 object_bv.zobj
621 object_hakach_objects.zobj
622 object_efc_crystal_light.zobj
623 object_efc_fire_ball.zobj
624 object_efc_flash.zobj
625 object_efc_lgt_shower.zobj
626 object_efc_star_field.zobj
627 object_god_lgt.zobj
628 object_light_ring.zobj
629 object_triforce_spot.zobj
630 object_medal.zobj
631 object_bdan_objects.zobj
632 object_sd.zobj
633 object_rd.zobj
634 object_po_sisters.zobj
635 object_heavy_object.zobj
636 object_gndd.zobj
637 object_fd.zobj
638 object_du.zobj
639 object_fw.zobj
640 object_horse_link_child.zobj
641 object_spot02_objects.zobj
642 object_haka.zobj
643 object_ru1.zobj
644 object_syokudai.zobj
645 object_fd2.zobj
646 object_dh.zobj
647 object_rl.zobj
648 object_efc_tw.zobj
649 object_demo_tre_lgt.zobj
650 object_gi_key.zobj
651 object_mir_ray.zobj
652 object_brob.zobj
653 object_gi_jewel.zobj
654 object_spot09_obj.zobj
655 object_spot18_obj.zobj
656 object_bdoor.zobj
657 object_spot17_obj.zobj
658 object_shop_dungen.zobj
659 object_nb.zobj
660 object_mo.zobj
661 object_sb.zobj
662 object_gi_melody.zobj
663 object_gi_heart.zobj
664 object_gi_compass.zobj
665 object_gi_bosskey.zobj
666 object_gi_medal.zobj
667 object_gi_nuts.zobj
668 object_sa.zobj
669 object_gi_hearts.zobj
670 object_gi_arrowcase.zobj
671 object_gi_bombpouch.zobj
672 object_in.zobj
673 object_tr.zobj
674 object_spot16_obj.zobj
675 object_oE1s.zobj
676 object_oE4s.zobj
677 object_os_anime.zobj
678 object_gi_bottle.zobj
679 object_gi_stick.zobj
680 object_gi_map.zobj
681 object_oF1d_map.zobj
682 object_ru2.zobj
683 object_gi_shield_1.zobj
684 object_dekujr.zobj
685 object_gi_magicpot.zobj
686 object_gi_bomb_1.zobj
687 object_oF1s.zobj
688 object_ma2.zobj
689 object_gi_purse.zobj
690 object_hni.zobj
691 object_tw.zobj
692 object_rr.zobj
693 object_bxa.zobj
694 object_anubice.zobj
695 object_gi_gerudo.zobj
696 object_gi_arrow.zobj
697 object_gi_bomb_2.zobj
698 object_gi_egg.zobj
699 object_gi_scale.zobj
700 object_gi_shield_2.zobj
701 object_gi_hookshot.zobj
702 object_gi_ocarina.zobj
703 object_gi_milk.zobj
704 object_ma1.zobj
705 object_ganon.zobj
706 object_sst.zobj
707 object_ny.zobj
708 object_fr.zobj
709 object_gi_pachinko.zobj
710 object_gi_boomerang.zobj
711 object_gi_bow.zobj
712 object_gi_glasses.zobj
713 object_gi_liquid.zobj
714 object_ani.zobj
715 object_demo_6k.zobj
716 object_gi_shield_3.zobj
717 object_gi_letter.zobj
718 object_spot15_obj.zobj
719 object_jya_obj.zobj
720 object_gi_clothes.zobj
721 object_gi_bean.zobj
722 object_gi_fish.zobj
723 object_gi_saw.zobj
724 object_gi_hammer.zobj
725 object_gi_grass.zobj
726 object_gi_longsword.zobj
727 object_spot01_objects.zobj
728 object_md.zobj
729 object_km1.zobj
730 object_kw1.zobj
731 object_zo.zobj
732 object_kz.zobj
733 object_umajump.zobj
734 object_masterkokiri.zobj
735 object_masterkokirihead.zobj
736 object_mastergolon.zobj
737 object_masterzoora.zobj
738 object_aob.zobj
739 object_ik.zobj
740 object_ahg.zobj
741 object_cne.zobj
742 object_gi_niwatori.zobj
743 object_skj.zobj
744 object_gi_bottle_letter.zobj
745 object_bji.zobj
746 object_bba.zobj
747 object_gi_ocarina_0.zobj
748 object_ds.zobj
749 object_ane.zobj
750 object_boj.zobj
751 object_spot03_object.zobj
752 object_spot07_object.zobj
753 object_fz.zobj
754 object_bob.zobj
755 object_ge1.zobj
756 object_yabusame_point.zobj
757 object_gi_boots_2.zobj
758 object_gi_seed.zobj
759 object_gnd_magic.zobj
760 object_d_elevator.zobj
761 object_d_hsblock.zobj
762 object_d_lift.zobj
763 object_mamenoki.zobj
764 object_goroiwa.zobj
765 object_toryo.zobj
766 object_daiku.zobj
767 object_nwc.zobj
768 object_blkobj.zobj
769 object_gm.zobj
770 object_ms.zobj
771 object_hs.zobj
772 object_ingate.zobj
773 object_lightswitch.zobj
774 object_kusa.zobj
775 object_tsubo.zobj
776 object_gi_gloves.zobj
777 object_gi_coin.zobj
778 object_kanban.zobj
779 object_gjyo_objects.zobj
780 object_owl.zobj
781 object_mk.zobj
782 object_fu.zobj
783 object_gi_ki_tan_mask.zobj
784 object_gi_redead_mask.zobj
785 object_gi_skj_mask.zobj
786 object_gi_rabit_mask.zobj
787 object_gi_truth_mask.zobj
788 object_ganon_objects.zobj
789 object_siofuki.zobj
790 object_stream.zobj
791 object_mm.zobj
792 object_fa.zobj
793 object_os.zobj
794 object_gi_eye_lotion.zobj
795 object_gi_powder.zobj
796 object_gi_mushroom.zobj
797 object_gi_ticketstone.zobj
798 object_gi_brokensword.zobj
799 object_js.zobj
800 object_cs.zobj
801 object_gi_prescription.zobj
802 object_gi_bracelet.zobj
803 object_gi_soldout.zobj
804 object_gi_frog.zobj
805 object_mag.zobj
806 object_door_gerudo.zobj
807 object_gt.zobj
808 object_efc_erupc.zobj
809 object_zl2_anime1.zobj
810 object_zl2_anime2.zobj
811 object_gi_golonmask.zobj
812 object_gi_zoramask.zobj
813 object_gi_gerudomask.zobj
814 object_ganon2.zobj
815 object_ka.zobj
816 object_ts.zobj
817 object_zg.zobj
818 object_gi_hoverboots.zobj
819 object_gi_m_arrow.zobj
820 object_ds2.zobj
821 object_ec.zobj
822 object_fish.zobj
